vann,bakterie,antall_per_ml
Andedam,Kim,505
Andedam,Kim,430
Andedam,Kim,350
Andedam,Kim,230
Andedam,Kim,305
Andedam,Kim,880
Andedam,Kim,505
Andedam,Kim,430
Andedam,Kim,350
Andedam,Kim,230
Andedam,Kim,305
Andedam,Kim,880
Andedam,Kim,655
Andedam,Kim,455
Andedam,Kim,645
Andedam,Kim,305
Andedam,Kim,350
Andedam,Kim,1020
Andedam,Kim,935
Andedam,Kim,545
Andedam,Kim,895
Andedam,Kim,780
Andedam,Kim,980
Andedam,Kim,1020
Andedam,Kim,790
Andedam,Koliforme,3.3
Andedam,Koliforme,16.7
Andedam,Koliforme,6.7
Andedam,Koliforme,15
Andedam,Koliforme,33.3
Andedam,Koliforme,20
Andedam,Koliforme,10
Andedam,Koliforme,13.3
Andedam,Koliforme,36.6
Andedam,Koliforme,23.3
Andedam,Koliforme,20
Andedam,Koliforme,20
Andedam,Koliforme,16.7
Andedam,Koliforme,13.3
Andedam,Koliforme,10
Andedam,Koliforme,37
Andedam,Koliforme,23
Andedam,Koliforme,10
Andedam,Koliforme,13.3
Andedam,Koliforme,20
Andedam,Koliforme,3
Andedam,Koliforme,33.3
Andedam,Koliforme,23.3
Andedam,Koliforme,6.7
Andedam,Koliforme,14
Lille Lungegårdsvann,Kim,1360
Lille Lungegårdsvann,Kim,566
Lille Lungegårdsvann,Kim,830
Lille Lungegårdsvann,Kim,1110
Lille Lungegårdsvann,Kim,480
Lille Lungegårdsvann,Kim,643
Lille Lungegårdsvann,Kim,430
Lille Lungegårdsvann,Kim,1143
Lille Lungegårdsvann,Kim,833
Lille Lungegårdsvann,Kim,877
Lille Lungegårdsvann,Kim,720
Lille Lungegårdsvann,Kim,1073
Lille Lungegårdsvann,Kim,1230
Lille Lungegårdsvann,Kim,603
Lille Lungegårdsvann,Kim,1077
Lille Lungegårdsvann,Kim,1103
Lille Lungegårdsvann,Kim,1370
Lille Lungegårdsvann,Kim,810
Lille Lungegårdsvann,Kim,460
Lille Lungegårdsvann,Kim,1850
Lille Lungegårdsvann,Kim,1929
Lille Lungegårdsvann,Kim,930
Lille Lungegårdsvann,Kim,1334
Lille Lungegårdsvann,Kim,1173
Lille Lungegårdsvann,Kim,1850
Lille Lungegårdsvann,Koliforme,10
Lille Lungegårdsvann,Koliforme,0
Lille Lungegårdsvann,Koliforme,13.3
Lille Lungegårdsvann,Koliforme,6.7
Lille Lungegårdsvann,Koliforme,13
Lille Lungegårdsvann,Koliforme,30
Lille Lungegårdsvann,Koliforme,6
Lille Lungegårdsvann,Koliforme,13.3
Lille Lungegårdsvann,Koliforme,0
Lille Lungegårdsvann,Koliforme,6.6
Lille Lungegårdsvann,Koliforme,6.6
Lille Lungegårdsvann,Koliforme,40
Lille Lungegårdsvann,Koliforme,10
Lille Lungegårdsvann,Koliforme,10
Lille Lungegårdsvann,Koliforme,13.3
Lille Lungegårdsvann,Koliforme,3.3
Lille Lungegårdsvann,Koliforme,3.3
Lille Lungegårdsvann,Koliforme,43.3
Lille Lungegårdsvann,Koliforme,10
Lille Lungegårdsvann,Koliforme,0
Lille Lungegårdsvann,Koliforme,10
Lille Lungegårdsvann,Koliforme,0
Lille Lungegårdsvann,Koliforme,0
Lille Lungegårdsvann,Koliforme,3.3
Lille Lungegårdsvann,Koliforme,6.6
Puddefjorden,Kim,127
Puddefjorden,Kim,80
Puddefjorden,Kim,80
Puddefjorden,Kim,113
Puddefjorden,Kim,83
Puddefjorden,Kim,147
Puddefjorden,Kim,117
Puddefjorden,Kim,93
Puddefjorden,Kim,137
Puddefjorden,Kim,147
Puddefjorden,Kim,143
Puddefjorden,Kim,143
Puddefjorden,Kim,153
Puddefjorden,Kim,203
Puddefjorden,Kim,136
Puddefjorden,Kim,260
Puddefjorden,Kim,233
Puddefjorden,Kim,237
Puddefjorden,Kim,137
Puddefjorden,Kim,156
Puddefjorden,Kim,198
Puddefjorden,Kim,203
Puddefjorden,Kim,193
Puddefjorden,Kim,247
Puddefjorden,Kim,210
Puddefjorden,Koliforme,13.3
Puddefjorden,Koliforme,0
Puddefjorden,Koliforme,6.7
Puddefjorden,Koliforme,0
Puddefjorden,Koliforme,13.3
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,6.7
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,3
Puddefjorden,Koliforme,6.7
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,0
Puddefjorden,Koliforme,7
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,6.7
Puddefjorden,Koliforme,10
Puddefjorden,Koliforme,3.3
Puddefjorden,Koliforme,6.6
Puddefjorden,Koliforme,6.7
Puddefjorden,Koliforme,0
Puddefjorden,Koliforme,7
Puddefjorden,Koliforme,6.7
Puddefjorden,Koliforme,3.3