vann,antall_per_ml
Andedam,3.3
Andedam,16.7
Andedam,6.7
Andedam,15
Andedam,33.3
Andedam,20
Andedam,10
Andedam,13.3
Andedam,36.6
Andedam,23.3
Andedam,20
Andedam,20
Andedam,16.7
Andedam,13.3
Andedam,10
Andedam,37
Andedam,23
Andedam,10
Andedam,13.3
Andedam,20
Andedam,3
Andedam,33.3
Andedam,23.3
Andedam,6.7
Andedam,14
Lille Lungegårdsvann,10
Lille Lungegårdsvann,0
Lille Lungegårdsvann,13.3
Lille Lungegårdsvann,6.7
Lille Lungegårdsvann,13
Lille Lungegårdsvann,30
Lille Lungegårdsvann,6
Lille Lungegårdsvann,13.3
Lille Lungegårdsvann,0
Lille Lungegårdsvann,6.6
Lille Lungegårdsvann,6.6
Lille Lungegårdsvann,40
Lille Lungegårdsvann,10
Lille Lungegårdsvann,10
Lille Lungegårdsvann,13.3
Lille Lungegårdsvann,3.3
Lille Lungegårdsvann,3.3
Lille Lungegårdsvann,43.3
Lille Lungegårdsvann,10
Lille Lungegårdsvann,0
Lille Lungegårdsvann,10
Lille Lungegårdsvann,0
Lille Lungegårdsvann,0
Lille Lungegårdsvann,3.3
Lille Lungegårdsvann,6.6
Puddefjorden,13.3
Puddefjorden,0
Puddefjorden,6.7
Puddefjorden,0
Puddefjorden,13.3
Puddefjorden,3.3
Puddefjorden,3.3
Puddefjorden,6.7
Puddefjorden,3.3
Puddefjorden,3.3
Puddefjorden,3
Puddefjorden,6.7
Puddefjorden,3.3
Puddefjorden,0
Puddefjorden,7
Puddefjorden,3.3
Puddefjorden,6.7
Puddefjorden,10
Puddefjorden,3.3
Puddefjorden,6.6
Puddefjorden,6.7
Puddefjorden,0
Puddefjorden,7
Puddefjorden,6.7
Puddefjorden,3.3